korean,preferred_vi,preferred_en,preferred_zh,preferred_th,preferred_ms,preferred_mn,preferred_ru,preferred_ja,role,note
평가영역,Lĩnh vực đánh giá,Assessment area,评价领域,ขอบเขตการประเมิน,Bidang penilaian,Үнэлгээний хүрээ,Область оценки,評価領域,item,행정
점심시간,Giờ ăn trưa,Lunch break,午餐时间,เวลาพักกลางวัน,Waktu rehat tengah hari,Өдрийн цайны цаг,Обеденный перерыв,昼食時間,item,일정
인플루엔자,Cúm,Influenza,流感,ไข้หวัดใหญ่,Influenza,Томуу,Грипп,インフルエンザ,item,검사
조기개입,Can thiệp sớm,Early intervention,早期干预,การแทรกแซงระยะแรก,Intervensi awal,Эрт оролцоо,Раннее вмешательство,早期介入,item,건강
단원명,Tên bài học,Unit title,单元名称,ชื่อหน่วยการเรียนรู้,Tajuk unit,Нэгжийн нэр,Название раздела,単元名,item,행정
구강검진,Khám răng miệng,Dental check-up,口腔检查,การตรวจสุขภาพช่องปาก,Pemeriksaan kesihatan mulut,Амны хөндийн үзлэг,Осмотр полости рта,口腔検診,item,검사
개인정보,Thông tin cá nhân,Personal data,个人信息,ข้อมูลส่วนตัว,Maklumat peribadi,Хувийн мэдээлэл,Личная информация,個人情報,item,행정
법정대리인,Người giám hộ hợp pháp,Legal guardian,法定代理人,ผู้ปกครองตามกฎหมาย,Penjaga sah,Хууль ёсны төлөөлөгч,Законный представитель,法定代理人,item,행정
서답형,Dạng câu hỏi tự luận,Constructed-response question,主观题,คำถามแบบเขียนตอบ,Soalan respons bertulis,Хариулт бичих асуулт,Задание с развёрнутым ответом,記述式,item,행정
행동강령,Quy tắc ứng xử,Code of conduct,行为准则,ประมวลจริยธรรม,Kod tingkah laku,Ёс зүйн дүрэм,Кодекс поведения,行動規範,item,행정
위탁의료기관,Cơ sở y tế được chỉ định,Designated medical facility,指定医疗机构,สถานพยาบาลที่กำหนด,Institusi perubatan yang ditetapkan,Томилогдсон эмнэлгийн байгууллага,Назначенное медицинское учреждение,指定医療機関,item,행정
자가점검,Tự kiểm tra,Self-check,自我检查,การตรวจสุขภาพด้วยตนเอง,Semakan kendiri,Өөрөө шалгах,Самопроверка,自己点検,item,검사
이상반응,Phản ứng bất thường,Adverse reaction,异常反应,อาการไม่พึงประสงค์,Reaksi buruk,Хэвийн бус урвал,Нежелательная реакция,異常反応,item,검사
늘봄학교,Trường Neulbom,Neulbom School,延长托管学校,โรงเรียน Neulbom,Sekolah Neulbom,Ныльбом сургууль,Школа Ныльбом,ヌルボム学校,item,행정
아침독서,Đọc sách buổi sáng,Morning reading,晨读,การอ่านตอนเช้า,Bacaan pagi,Өглөөний уншлага,Утреннее чтение,朝読書,item,일정
접종장소,Địa điểm tiêm chủng,Vaccination site,接种地点,สถานที่ฉีดวัคซีน,Tempat vaksinasi,Вакцин хийх газар,Место вакцинации,接種場所,item,일정
선착순,Ai đến trước được phục vụ trước,"First-come, first-served",先到先得,มาก่อนได้ก่อน,Siapa cepat dia dapat,Эхэлж ирсэн дарааллаар,В порядке живой очереди,先着順,item,행정
재량휴업일,Ngày nghỉ do nhà trường quy định,School closure day,学校指定休业日,วันหยุดที่โรงเรียนกำหนด,Cuti yang ditetapkan oleh sekolah,Сургуулиас тогтоосон амралтын өдөр,"День отдыха, установленный школой",学校指定休業日,item,일정
수업일,Ngày học,School day,上课日,วันเรียน,Hari persekolahan,Хичээлийн өдөр,Учебный день,授業日,item,일정
누리집,Trang web,Website,网站,เว็บไซต์,Laman web,Вебсайт,Веб-сайт,ホームページ,item,행정
학기중,Trong học kỳ,During the semester,学期中,ในช่วงภาคเรียน,Semasa semester,Улирлын турш,Во время семестра,学期中,item,일정
전면등교,Đi học trực tiếp toàn bộ,Full in-person attendance,全面返校,การเข้าเรียนในโรงเรียนเต็มรูปแบบ,Kehadiran fizikal sepenuhnya,Бүрэн танхимын хичээл,Полное очное обучение,全面登校,item,행정
수학여행,Chuyến đi học tập của trường,Overnight school trip,研学旅行,ทัศนศึกษา,Lawatan sekolah,Сургалтын аялал,Школьная поездка,修学旅行,item,일정
봉사활동,Hoạt động tình nguyện,Volunteer activity,志愿活动,กิจกรรมอาสา,Aktiviti sukarelawan,Сайн дурын үйл ажиллагаа,Добровольческая деятельность,ボランティア活動,item,일정
출결처리,Xử lý chuyên cần,Attendance processing,出缺勤处理,การจัดการการเข้าเรียน,Pemprosesan kehadiran,Ирц бүртгэл,Учёт посещаемости,出欠処理,item,행정
교육활동,Hoạt động giáo dục,Educational activities,教育活动,กิจกรรมทางการศึกษา,Aktiviti pendidikan,Боловсролын үйл ажиллагаа,Образовательная деятельность,教育活動,item,일정
학부모회,Hội phụ huynh,Parents association,家长委员会,สมาคมผู้ปกครอง,Persatuan ibu bapa,Эцэг эхийн холбоо,Родительский комитет,保護者会,item,행정
담당자,Người phụ trách,Person in charge,负责人,เจ้าหน้าที่ติดต่อ,Pegawai bertanggungjawab,Хариуцсан ажилтан,Ответственное лицо,担当者,item,행정
수련지도사,Giáo viên hướng dẫn hoạt động trải nghiệm,Youth training instructor,青少年训练指导员,ครูฝึกกิจกรรมเยาวชน,Jurulatih latihan belia,Залуучуудын сургалтын багш,Инструктор молодёжного лагеря,青少年研修指導員,item,일정
교육급여,Trợ cấp chi phí học tập,Education allowance,教育津贴,เงินอุดหนุนการศึกษา,Bantuan pendidikan,Боловсролын тэтгэмж,Пособие на обучение,教育給付,item,비용
급식우유,Sữa trong bữa ăn học đường,School meal milk,学校供餐牛奶,นมโรงเรียน,Susu makanan sekolah,Сургуулийн хоолны сүү,Молоко для школьного питания,給食牛乳,item,건강
국내산,Sản xuất trong nước,Domestically produced,国产,ผลิตในประเทศ,Buatan tempatan,Дотоодын үйлдвэрлэл,Отечественное производство,国産,item,행정
교육과정,Chương trình giáo dục,Curriculum,课程,หลักสูตร,Kurikulum,Боловсролын хөтөлбөр,Учебная программа,教育課程,item,행정
생년월일,Ngày tháng năm sinh,Date of birth,出生年月日,วันเดือนปีเกิด,Tarikh lahir,Төрсөн огноо,Дата рождения,生年月日,item,행정
서술형,Dạng câu hỏi trả lời bằng văn bản,Constructed-response type,叙述题,แบบเขียนตอบ,Jenis jawapan bertulis,Бичгээр хариулах хэлбэр,Задание с письменным ответом,記述式,item,검사
특수교육대상자,Học sinh cần giáo dục đặc biệt,Student with special educational needs,特殊教育对象,ผู้เรียนที่มีความต้องการพิเศษทางการศึกษา,Pelajar keperluan pendidikan khas,Тусгай боловсрол шаардлагатай сурагч,Учащийся с особыми образовательными потребностями,特別支援教育対象者,item,행정
교수학습,Dạy và học,Teaching and learning,教学,การเรียนการสอน,Pengajaran dan pembelajaran,"Багшлах, сурах",Преподавание и обучение,授業と学習,item,행정
교육지원청,Phòng Giáo dục địa phương,Regional Office of Education,教育支援厅,สำนักงานเขตการศึกษา,Pejabat Pendidikan Daerah,Орон нутгийн боловсролын газар,Управление образования,教育支援庁,item,행정
건강보험료,Phí bảo hiểm y tế,Health insurance premium,健康保险费,เบี้ยประกันสุขภาพ,Premium insurans kesihatan,Эрүүл мэндийн даатгалын шимтгэл,Взнос за медицинскую страховку,健康保険料,item,비용
학생인권,Quyền học sinh,Student rights,学生人权,สิทธิของนักเรียน,Hak pelajar,Сурагчийн эрх,Права учащихся,学生人権,item,행정
등교중지,Tạm dừng đến trường,Suspension of school attendance,停止上学,งดมาโรงเรียนชั่วคราว,Sekatan sementara daripada hadir ke sekolah,Хичээлд ирэхийг түр зогсоох,Приостановка посещения школы,登校停止,item,행정
식재료,Nguyên liệu thực phẩm,Food ingredients,食材,วัตถุดิบอาหาร,Bahan makanan,Хүнсний орц,Пищевые ингредиенты,食材,item,건강
원산지,Nơi xuất xứ,Place of origin,原产地,แหล่งกำเนิด,Negara asal,Гарал үүсэл,Место происхождения,原産地,item,건강
아동학대,Lạm dụng trẻ em,Child abuse,儿童虐待,การทารุณกรรมเด็ก,Penderaan kanak-kanak,Хүүхдийн хүчирхийлэл,Жестокое обращение с детьми,児童虐待,item,행정
무항생제,Không kháng sinh,Antibiotic-free,无抗生素,ปลอดสารปฏิชีวนะ,Bebas antibiotik,Антибиотикгүй,Без антибиотиков,無抗生剤,item,건강
사이버폭력,Bạo lực mạng,Cyberbullying,网络暴力,การกลั่นแกล้งบนโลกไซเบอร์,Buli siber,Кибер дээрэлхэл,Кибербуллинг,ネットいじめ,item,행정
논술형,Dạng bài luận,Essay question type,论述题,แบบเรียงความ,Bentuk esei,Эссэ хэлбэрийн,Задание с развернутым ответом,論述式,item,검사
비대면,Không tiếp xúc trực tiếp,Non-face-to-face,非面对面,ไม่พบหน้า,Bukan bersemuka,Биечлэн бус,Дистанционный,非対面,item,행정
여름방학,Kỳ nghỉ hè,Summer vacation,暑假,ปิดเทอมภาคฤดูร้อน,Cuti musim panas,Зуны амралт,Летние каникулы,夏休み,item,일정
겨울방학,Kỳ nghỉ đông,Winter vacation,寒假,ปิดเทอมภาคฤดูหนาว,Cuti musim sejuk,Өвлийн амралт,Зимние каникулы,冬休み,item,일정
등교수업,Lớp học trực tiếp,In-person classes,到校上课,การเรียนแบบเข้าชั้นเรียน,Kelas bersemuka,Хичээлд ирж сурах,Очные занятия,登校授業,item,행정
학교운영위원회,Hội đồng quản lý trường học,School management committee,学校运营委员会,คณะกรรมการสถานศึกษา,Jawatankuasa pengurusan sekolah,Сургуулийн удирдлагын зөвлөл,Школьный управляющий совет,学校運営委員会,item,행정
신속항원검사,Xét nghiệm kháng nguyên nhanh,Rapid antigen test,快速抗原检测,การตรวจแอนติเจนแบบรวดเร็ว,Ujian antigen pantas,Түргэн антиген тест,Экспресс-тест на антигены,迅速抗原検査,item,검사
중위소득,Thu nhập trung vị,Median income,中位收入,รายได้มัธยฐาน,Pendapatan median,Медиан өрхийн орлого,Медианный доход,中位所得,item,비용
인공지능,Trí tuệ nhân tạo,Artificial intelligence,人工智能,ปัญญาประดิษฐ์,Kecerdasan buatan,Хиймэл оюун ухаан,Искусственный интеллект,人工知能,item,행정
수강신청,Đăng ký học,Course registration,课程报名,การลงทะเบียนเรียน,Pendaftaran kursus,Хичээл сонголт,Запись на курсы,受講申込み,item,행정
의료기관,Cơ sở y tế,Medical institution,医疗机构,สถานพยาบาล,Institusi perubatan,Эрүүл мэндийн байгууллага,Медицинское учреждение,医療機関,item,건강
농촌유학,Chương trình học tập ở nông thôn,Rural study program,农村游学,โครงการเรียนรู้ในชนบท,Program pembelajaran luar bandar,Хөдөө орон нутагт суралцах хөтөлбөр,Программа обучения в сельской местности,農村留学,item,행정
관찰평가,Đánh giá quan sát,Observation assessment,观察评估,การประเมินจากการสังเกต,Penilaian pemerhatian,Ажиглалтын үнэлгээ,Наблюдательная оценка,観察評価,item,검사
서술평가,Đánh giá tự luận,Descriptive assessment,描述性评估,การประเมินเชิงบรรยาย,Penilaian deskriptif,Бичгээр тайлбарлах үнэлгээ,Описательная оценка,記述評価,item,검사
지필평가,Đánh giá viết,Written test,笔试评估,การประเมินข้อเขียน,Penilaian bertulis,Бичгийн үнэлгээ,Письменная оценка,筆記評価,item,검사
실기평가,Đánh giá thực hành,Performance assessment,技能评估,การประเมินภาคปฏิบัติ,Penilaian praktikal,Практик үнэлгээ,Практическая оценка,実技評価,item,검사
자기평가,Tự đánh giá,Self-assessment,自我评估,การประเมินตนเอง,Penilaian kendiri,Өөрийн үнэлгээ,Самооценка,自己評価,item,검사
선택형,Dạng trắc nghiệm,Multiple-choice type,选择题,แบบเลือกตอบ,Jenis pilihan,Сонголттой асуултын хэлбэр,Тесты с выбором ответа,選択式,item,검사
평가방법,Phương pháp đánh giá,Assessment method,评估方法,วิธีการประเมิน,Kaedah penilaian,Үнэлгээний арга,Метод оценки,評価方法,item,검사
평가시기,Thời điểm đánh giá,Assessment timing,评估时间,ช่วงเวลาประเมิน,Tempoh penilaian,Үнэлгээний хугацаа,Сроки оценки,評価時期,item,검사
평가내용,Nội dung đánh giá,Assessment content,评估内容,เนื้อหาการประเมิน,Kandungan penilaian,Үнэлгээний агуулга,Содержание оценки,評価内容,item,검사
재료비,Phí nguyên liệu,Material fee,材料费,ค่าวัสดุ,Yuran bahan,Материалын төлбөр,Стоимость материалов,材料費,item,비용
교재비,Phí giáo trình,Textbook fee,教材费,ค่าตำราเรียน,Yuran buku teks,Сурах бичгийн төлбөр,Стоимость учебных материалов,教材費,item,비용
교통비,Phí đi lại,Transportation fee,交通费,ค่าเดินทาง,Yuran pengangkutan,Замын зардал,Транспортные расходы,交通費,item,비용
체험비,Phí trải nghiệm,Activity fee,体验费,ค่ากิจกรรม,Yuran aktiviti,Туршлагын төлбөр,Плата за участие в мероприятии,体験費,item,비용
수급권자,Người được hưởng trợ cấp,Eligible beneficiary,受益人,ผู้มีสิทธิ์รับเงินสงเคราะห์,Penerima bantuan,Тэтгэмж авах эрх бүхий этгээд,"Лицо, имеющее право на льготы",受給権者,item,비용
학습특별지원금,Hỗ trợ học tập đặc biệt,Special study grant,特别学习支援金,เงินสนับสนุนการเรียนรู้พิเศษ,Geran sokongan pembelajaran khas,Сургалтын тусгай тэтгэмж,Специальная выплата на обучение,学習特別支援金,item,비용
미동의,Không đồng ý,Non-consent,未同意,ไม่ยินยอม,Tidak bersetuju,Зөвшөөрөөгүй,Несогласие,未同意,item,행정
증빙서류,Hồ sơ chứng minh,Supporting documents,证明文件,เอกสารประกอบ,Dokumen sokongan,Нотлох баримт бичиг,Подтверждающие документы,証明書類,item,행정
수집항목,Thông tin thu thập,Collected information,收集项目,รายการข้อมูลที่เก็บรวบรวม,Maklumat yang dikumpul,Цуглуулах мэдээлэл,Перечень собираемых данных,収集項目,item,행정
보유기간,Thời gian lưu giữ,Retention period,保存期限,ระยะเวลาการจัดเก็บ,Tempoh simpanan,Хадгалах хугацаа,Срок хранения,保有期間,item,행정
이용기간,Thời gian sử dụng,Usage period,使用期限,ระยะเวลาการใช้งาน,Tempoh penggunaan,Ашиглах хугацаа,Срок использования,利用期間,item,행정
개인정보보호법,Luật Bảo vệ thông tin cá nhân,Personal Information Protection Act,个人信息保护法,พระราชบัญญัติคุ้มครองข้อมูลส่วนบุคคล,Akta Perlindungan Maklumat Peribadi,Хувийн мэдээллийн хамгаалах тухай хууль,Закон о защите персональных данных,個人情報保護法,item,행정
지원서,Đơn đăng ký,Application form,申请书,ใบสมัคร,Borang permohonan,Өргөдөл,Заявление,申請書,item,행정
희망자,Người có nhu cầu,Interested applicants,希望者,ผู้ที่ต้องการ,Pemohon yang berminat,Хүсэгчид,Желающие,希望者,item,행정
지원대상,Đối tượng hỗ trợ,Eligible persons,支持对象,ผู้มีสิทธิ์รับการสนับสนุน,Kumpulan sasaran sokongan,Дэмжлэг авах хүмүүс,"Категория лиц, имеющих право на поддержку",支援対象,item,행정
설문조사,Khảo sát,Survey,问卷调查,การสำรวจ,Tinjauan,Судалгаа,Опрос,アンケート調査,item,행정
운영계획,Kế hoạch vận hành,Operation plan,运营计划,แผนการดำเนินงาน,Pelan operasi,Үйл ажиллагааны төлөвлөгөө,План работы,運営計画,item,행정
불법찬조금,Tiền tài trợ bất hợp pháp,Illegal donations,非法赞助费,เงินบริจาคที่ผิดกฎหมาย,Dana tajaan haram,Хууль бус ивээн тэтгэлэг,Незаконные пожертвования,不法賛助金,item,행정
등하교,Đi học và tan học,Arrival and dismissal,上下学,การเดินทางไปกลับโรงเรียน,Perjalanan pergi dan balik sekolah,"Сургуульд ирэх, буцах",Приход в школу и уход домой,登下校,item,일정
가정학습,Học tại nhà,Home learning,家庭学习,การเรียนรู้ที่บ้าน,Pembelajaran di rumah,Гэрийн сургалт,Домашнее обучение,家庭学習,item,일정
학교급식,Bữa ăn học đường,School meal,学校供餐,อาหารโรงเรียน,Makanan sekolah,Сургуулийн хоол,Школьное питание,学校給食,item,건강
알리미,Hệ thống thông báo,Notification system,通知系统,ระบบแจ้งเตือน,Sistem pemberitahuan,Мэдэгдлийн систем,Система оповещения,お知らせシステム,item,행정
생활교육,Hướng dẫn nề nếp,Student conduct guidance,生活指导,การแนะแนวการใช้ชีวิตในโรงเรียน,Bimbingan disiplin murid,Сурагчийн хүмүүжлийн зөвлөгөө,Воспитательная работа,生活指導,item,행정
선별진료소,Phòng khám sàng lọc,Screening clinic,筛查诊疗所,คลินิกคัดกรอง,Klinik saringan,Скрининг эмнэлэг,Скрининговый центр,選別診療所,item,검사
건강상태,Tình trạng sức khỏe,Health status,健康状况,สภาพสุขภาพ,Keadaan kesihatan,Эрүүл мэндийн байдал,Состояние здоровья,健康状態,item,건강
과의존,Phụ thuộc kỹ thuật số quá mức,Digital overdependence,过度沉迷,การติดสื่อดิจิทัล,Ketergantungan digital berlebihan,Дижитал хамаарал,Чрезмерная зависимость,過度な依存,item,건강
단말기,Thiết bị đầu cuối,Device,终端设备,อุปกรณ์ปลายทาง,Peranti,Төхөөрөмж,Устройство,端末,item,준비물
태블릿,Máy tính bảng,Tablet,平板电脑,แท็บเล็ต,Tablet,Таблет,Планшет,タブレット,item,준비물
휴대전화,Điện thoại di động,Mobile phone,手机,โทรศัพท์มือถือ,Telefon bimbit,Гар утас,Мобильный телефон,携帯電話,item,준비물
카카오톡,KakaoTalk,KakaoTalk,KakaoTalk,KakaoTalk,KakaoTalk,KakaoTalk,KakaoTalk,カカオトーク,item,행정
디지털,Kỹ thuật số,Digital,数字,ดิจิทัล,Digital,Дижитал,Цифровой,デジタル,item,행정
특별교육,Giáo dục đặc biệt,Special education,特别教育,การศึกษาแบบพิเศษ,Pendidikan khas,Тусгай боловсрол,Специальное обучение,特別教育,item,행정
영재교육대상자,Học sinh năng khiếu,Gifted student,英才教育对象,นักเรียนที่มีความสามารถพิเศษ,Calon pendidikan berbakat,Авьяаслаг сурагч,Одаренный учащийся,英才教育対象者,item,행정
맞춤형,Cá nhân hóa,Personalized,个性化,เฉพาะบุคคล,Peribadi,Хувь хүнд тохируулсан,Индивидуальный,個別対応,item,행정
청소년,Thanh thiếu niên,Adolescent,青少年,เยาวชน,Remaja,Өсвөр насны хүүхэд,Подросток,青少年,item,행정
자원봉사센터,Trung tâm tình nguyện,Volunteer center,志愿者中心,ศูนย์อาสาสมัคร,Pusat sukarelawan,Сайн дурын төв,Центр волонтерства,ボランティアセンター,item,행정
체크리스트,Danh sách kiểm tra,Checklist,清单,รายการตรวจสอบ,Senarai semak,Шалгах хуудас,Контрольный список,チェックリスト,item,행정
학부모님께,Kính gửi quý phụ huynh,Dear parents,尊敬的家长,เรียนผู้ปกครอง,Kepada ibu bapa,Эцэг эхчүүдэд,Уважаемые родители,保護者の皆様,item,인사말
참고 바랍니다,Vui lòng tham khảo,Please refer to this,请参考,โปรดทราบ,Sila rujuk,Анхаарна уу,Просим ознакомиться,ご確認ください,item,안내 표현
협조 부탁드립니다,Mong quý phụ huynh hợp tác,Thank you for your cooperation,请予以配合,ขอความร่วมมือ,Terima kasih atas kerjasama,Хамтран ажиллахыг хүсье,Просим содействия,ご協力をお願いいたします,item,안내 표현
반드시,Bắt buộc,Must,必须,จำเป็นต้อง,Wajib,Заавал,Обязательно,必ず,item,강조 표현
미제출,Chưa nộp,Not submitted,未提交,ยังไม่ได้ส่ง,Belum dihantar,Илгээгээгүй,Не представлено,未提出,item,상태값
제출 완료,Đã nộp,Submitted,已提交,ส่งแล้ว,Telah dihantar,Илгээсэн,Представлено,提出済み,item,상태값
희망하지 않음,Không có nhu cầu,Do not wish to apply,不希望参加,ไม่ประสงค์เข้าร่วม,Tidak berminat,Хүсэхгүй,Не желает,希望しない,item,상태값
해당 없음,Không áp dụng,Not applicable,不适用,ไม่เกี่ยวข้อง,Tidak berkenaan,Хамааралгүй,Не применимо,該当なし,item,상태값
까지,Đến,Until,截至,จนถึง,Hingga,Хүртэл,До,まで,item,일정 표현
부터,Từ,From,从,ตั้งแต่,Dari,Эхлэн,С,から,item,일정 표현
이후,Sau đó,After,以后,หลังจาก,Selepas,Дараа,После,以降,item,일정 표현
이전,Trước đó,Before,以前,ก่อน,Sebelum,Өмнө,До,以前,item,일정 표현
매주,Hàng tuần,Every week,每周,ทุกสัปดาห์,Setiap minggu,Долоо хоног бүр,Каждую неделю,毎週,item,일정 표현
매월,Hàng tháng,Every month,每月,ทุกเดือน,Setiap bulan,Сар бүр,Каждый месяц,毎月,item,일정 표현
당일,Trong ngày đó,On the day,当天,ในวันนั้น,Pada hari tersebut,Тухайн өдөр,В тот день,当日,item,일정 표현
환불,Hoàn tiền,Refund,退款,การคืนเงิน,Bayaran balik,Буцаан олголт,Возврат денег,返金,item,비용
감면,Miễn giảm,Reduction or exemption,减免,การลดหย่อน,Pengecualian atau pengurangan,Хөнгөлөлт чөлөөлөлт,Льгота или освобождение,減免,item,비용
지원금,Tiền hỗ trợ,Support fund,补助金,เงินสนับสนุน,Dana bantuan,Дэмжлэгийн мөнгө,Пособие,支援金,item,비용
납부기한,Hạn nộp tiền,Payment deadline,缴费期限,กำหนดชำระเงิน,Tempoh bayaran,Төлбөр төлөх хугацаа,Крайний срок оплаты,納付期限,item,비용
미납,Chưa thanh toán,Unpaid,未缴费,ยังไม่ได้ชำระเงิน,Belum dibayar,Төлбөр төлөгдөөгүй,Не оплачено,未納,item,비용
납부완료,Đã thanh toán,Payment completed,已缴费,ชำระเงินแล้ว,Bayaran selesai,Төлбөр төлсөн,Оплачено,納付済み,item,비용
발열,Sốt,Fever,发热,มีไข้,Demam,Халуурах,Температура,発熱,item,건강
기침,Ho,Cough,咳嗽,ไอ,Batuk,Ханиалгах,Кашель,咳,item,건강
복통,Đau bụng,Stomachache,腹痛,ปวดท้อง,Sakit perut,Гэдэс өвдөх,Боль в животе,腹痛,item,건강
귀가조치,Cho về nhà,Sent home,送回家,ให้กลับบ้าน,Dihantar pulang,Гэрт нь буцаах,Отправить домой,帰宅措置,item,건강·안전
보건실,Phòng y tế,Health room,保健室,ห้องพยาบาล,Bilik kesihatan,Эрүүл мэндийн өрөө,Медицинский кабинет,保健室,item,건강
응급상황,Tình huống khẩn cấp,Emergency situation,紧急情况,สถานการณ์ฉุกเฉิน,Kecemasan,Яаралтай нөхцөл байдал,Чрезвычайная ситуация,緊急時,item,건강·안전
휴대전화 사용,Sử dụng điện thoại di động,Mobile phone use,使用手机,การใช้โทรศัพท์มือถือ,Penggunaan telefon bimbit,Гар утас ашиглах,Использование мобильного телефона,携帯電話の使用,item,생활지도
교내,Trong trường,On campus,校内,ในโรงเรียน,Dalam sekolah,Сургуулийн дотор,На территории школы,校内,item,장소
교외,Ngoài trường,Off campus,校外,นอกโรงเรียน,Luar sekolah,Сургуулийн гадна,Вне школы,校外,item,장소
분실,Mất đồ,Lost item,遗失,ของหาย,Barang hilang,Алдагдсан зүйл,Потеря,紛失,item,생활
습득물,Đồ nhặt được,Found item,拾得物,ของที่พบ,Barang dijumpai,Олдсон зүйл,Найденная вещь,拾得物,item,생활
금지,Cấm,Prohibited,禁止,ห้าม,Dilarang,Хориглоно,Запрещено,禁止,item,생활지도
유치원생,trẻ mẫu giáo,kindergartener,幼儿园学生,เด็กอนุบาล,kanak-kanak tadika,цэцэрлэгийн хүүхэд,воспитанник детского сада,幼稚園児,item,유아 단계
담임선생님,giáo viên chủ nhiệm,Homeroom teacher,班主任老师,คุณครูประจำชั้น,guru kelas,анги даасан багш,классный руководитель,担任の先生,recipient,학교 담당자 (담임교사 동의어)
참가 동의서,giấy đồng ý tham gia,Participation consent form,参加同意书,ใบยินยอมเข้าร่วม,borang izin penyertaan,оролцох зөвшөөрлийн маягт,согласие на участие,参加同意書,item,제출 서류
전교생,toàn thể học sinh,All students,全校学生,นักเรียนทั้งหมด,seluruh murid,бүх сурагч,все ученики школы,全校生徒,audience,학생 범주
시네마,rạp chiếu phim,Cinema,电影院,โรงภาพยนตร์,pawagam,кинотеатр,кинотеатр,映画館,item,장소
유성매직,bút dạ dầu,permanent marker,油性马克笔,ปากกาเมจิกน้ำมัน,pen marker minyak,тосон маркер,перманентный маркер,油性マーカー,item,준비물
클리어 화일,túi hồ sơ trong suốt,clear file folder,透明文件夹,แฟ้มใสกระจก,fail plastik lutsinar,тунгалаг хавтас,прозрачная папка-файл,クリアファイル,item,준비물
학습준비물,đồ dùng học tập,school supplies,学习用品,อุปกรณ์การเรียน,alatan pembelajaran,сургалтын хэрэгсэл,школьные принадлежности,学習用品,item,준비물
사인펜,bút lông,felt-tip pen,签字笔,ปากกาเมจิก,pen felt,фломастер,фломастер,サインペン,item,준비물
물감,màu vẽ,paint,颜料,สีระบาย,cat,будаг,краска,絵の具,item,준비물
수채화 물감,màu nước,watercolor paint,水彩颜料,สีน้ำ,cat air,усан будаг,акварельные краски,水彩絵の具,item,준비물
풍선,bóng bay,balloon,气球,ลูกโป่ง,belon,бөмбөлөг,воздушный шар,風船,item,준비물
붓,cọ vẽ,paintbrush,画笔,แปรงทาสี,berus cat,будгийн сойз,кисть для рисования,絵筆,item,준비물
찰흙,đất sét,clay,黏土,ดินเหนียว,tanah liat,шавар,глина,粘土,item,준비물
받아쓰기 공책,vở chính tả,dictation notebook,听写本,สมุดเขียนตามคำบอก,buku latihan ejaan,диктантын дэвтэр,тетрадь для диктантов,書き取りノート,item,준비물
부여,Buyeo,Buyeo,扶余,บูยอ,Buyeo,Буё,Пуё,扶余,item,충남 부여군 지명 - 번역 금지 음역
공주,Gongju,Gongju,公州,กงจู,Gongju,Гонжу,Конджу,公州,item,충남 공주시 지명 - 번역 금지 음역(공주님 오번역 방지)
서귀포,Seogwipo,Seogwipo,西归浦,ซอกวีโพ,Seogwipo,Согвипо,Согвипо,西帰浦,item,제주 서귀포시 지명 - 번역 금지 음역
목포,Mokpo,Mokpo,木浦,มกโป,Mokpo,Мокпо,Мокпо,木浦,item,전남 목포시 지명 - 번역 금지 음역
1박 2일간,1 đêm 2 ngày,1 night 2 days,1晚2天,1 คืน 2 วัน,1 malam 2 hari,1 шөнө 2 өдөр,1 ночь 2 дня,1泊2日,item,수학여행/현장체험학습 숙박 일정
도시락,hộp cơm,lunch box,便当,กล่องข้าว,bekas makanan,хоол хайрцаг,ланч-бокс,お弁当,item,NLLB 오번역 방지 - 학교 도시락
박람회,triển lãm,exhibition,展览会,นิทรรศการ,pameran,үзэсгэлэн,выставка,博覧会,item,행사 전시회 - NLLB 오번역 방지
진단서,giấy chứng nhận y tế,medical certificate,诊断书,ใบรับรองแพทย์,sijil perubatan,эмнэлгийн гэрчилгээ,медицинская справка,診断書,item,서류 - 의료
의견서,phiếu ý kiến,opinion form,意见书,แบบแสดงความคิดเห็น,borang pendapat,санал хуудас,форма обратной связи,意見書,item,서류 - 설문/의견
구비서류,hồ sơ cần chuẩn bị,required documents,所需文件,เอกสารที่ต้องเตรียม,dokumen yang diperlukan,шаардлагатай баримт бичиг,необходимые документы,必要書類,item,서류 - 제출 서류 묶음
검사지,phiếu kiểm tra,screening form,检查表,แบบฟอร์มตรวจสอบ,borang pemeriksaan,шалгалтын хуудас,опросник,検査用紙,item,서류 - 검진/설문
위임장,giấy ủy quyền,authorization form,委任书,หนังสือมอบอำนาจ,surat kuasa,итгэмжлэл,доверенность,委任状,item,서류 - 위임/대리
문진표,phiếu khám bệnh,health questionnaire,健康问卷,แบบสอบถามสุขภาพ,borang kesihatan,эрүүл мэндийн асуулга,анкета здоровья,問診票,item,서류 - 건강 문진
아동급식,hỗ trợ bữa ăn học sinh,child meal support,儿童餐食补贴,สนับสนุนอาหารกลางวันนักเรียน,sokongan makanan kanak-kanak,хүүхдийн хоол тэтгэмж,поддержка питания детей,給食支援,item,급식 - 저소득층 지원
우유급식,chương trình sữa học đường,school milk program,学校供奶计划,โครงการนมโรงเรียน,program susu sekolah,сургуулийн сүү хөтөлбөр,программа школьного молока,学校牛乳プログラム,item,급식 - 우유 지원
